Frame: 20, ID: 9, Type: car, X: 0.34, Z: 1.57, Speed: 0.00, SCF: 483.8406, Avg_SCF: 495.3166
Frame: 20, ID: 10, Type: car, X: 0.17, Z: 2.55, Speed: 0.00, SCF: 514.5968, Avg_SCF: 495.3166
Frame: 20, ID: 11, Type: car, X: -0.35, Z: 1.39, Speed: 0.00, SCF: 473.0334, Avg_SCF: 495.3166
Frame: 21, ID: 1, Type: car, X: 0.04, Z: 1.78, Speed: 0.00, SCF: 510.0556, Avg_SCF: 492.0030
Frame: 21, ID: 2, Type: car, X: -0.12, Z: 1.89, Speed: 0.00, SCF: 511.7273, Avg_SCF: 492.0030
Frame: 21, ID: 5, Type: car, X: -0.02, Z: 1.32, Speed: 0.00, SCF: 487.0529, Avg_SCF: 492.0030
Frame: 21, ID: 7, Type: car, X: 0.44, Z: 2.00, Speed: 0.00, SCF: 486.8115, Avg_SCF: 492.0030
Frame: 21, ID: 9, Type: car, X: 0.35, Z: 1.58, Speed: 0.00, SCF: 483.4063, Avg_SCF: 492.0030
Frame: 21, ID: 11, Type: car, X: -0.35, Z: 1.39, Speed: 0.00, SCF: 472.9643, Avg_SCF: 492.0030
Frame: 22, ID: 1, Type: car, X: 0.04, Z: 1.78, Speed: 0.00, SCF: 510.0603, Avg_SCF: 492.0405
Frame: 22, ID: 2, Type: car, X: -0.12, Z: 1.90, Speed: 0.00, SCF: 511.8943, Avg_SCF: 492.0405
Frame: 22, ID: 5, Type: car, X: -0.02, Z: 1.33, Speed: 0.00, SCF: 487.6641, Avg_SCF: 492.0405
Frame: 22, ID: 7, Type: car, X: 0.45, Z: 2.01, Speed: 0.00, SCF: 486.4036, Avg_SCF: 492.0405
Frame: 22, ID: 9, Type: car, X: 0.36, Z: 1.59, Speed: 0.00, SCF: 483.2972, Avg_SCF: 492.0405
Frame: 22, ID: 11, Type: car, X: -0.35, Z: 1.39, Speed: 0.00, SCF: 472.9236, Avg_SCF: 492.0405
Frame: 23, ID: 1, Type: car, X: 0.04, Z: 1.78, Speed: 0.00, SCF: 510.1603, Avg_SCF: 492.1057
Frame: 23, ID: 2, Type: car, X: -0.12, Z: 1.90, Speed: 0.00, SCF: 512.0540, Avg_SCF: 492.1057
Frame: 23, ID: 5, Type: car, X: -0.02, Z: 1.34, Speed: 0.00, SCF: 488.1678, Avg_SCF: 492.1057
Frame: 23, ID: 7, Type: car, X: 0.45, Z: 2.01, Speed: 0.00, SCF: 486.2073, Avg_SCF: 492.1057
Frame: 23, ID: 9, Type: car, X: 0.36, Z: 1.60, Speed: 0.00, SCF: 483.1355, Avg_SCF: 492.1057
Frame: 23, ID: 11, Type: car, X: -0.35, Z: 1.39, Speed: 0.00, SCF: 472.9092, Avg_SCF: 492.1057
Frame: 3, ID: 1, Type: car, X: 0.04, Z: 1.78, Speed: 0.00, SCF: 510.1265, Avg_SCF: 498.8566
Frame: 3, ID: 2, Type: car, X: -0.13, Z: 1.92, Speed: 0.00, SCF: 512.3675, Avg_SCF: 498.8566
Frame: 3, ID: 3, Type: car, X: -0.02, Z: 1.32, Speed: 0.00, SCF: 486.7139, Avg_SCF: 498.8566
Frame: 3, ID: 4, Type: car, X: 0.30, Z: 1.53, Speed: 0.00, SCF: 486.2187, Avg_SCF: 498.8566
Frame: 4, ID: 1, Type: car, X: 0.04, Z: 1.78, Speed: 0.00, SCF: 510.1265, Avg_SCF: 498.8568
Frame: 4, ID: 2, Type: car, X: -0.13, Z: 1.92, Speed: 0.00, SCF: 512.3675, Avg_SCF: 498.8568
Frame: 4, ID: 3, Type: car, X: -0.02, Z: 1.32, Speed: 0.00, SCF: 486.7145, Avg_SCF: 498.8568
Frame: 4, ID: 4, Type: car, X: 0.30, Z: 1.53, Speed: 0.00, SCF: 486.2187, Avg_SCF: 498.8568
Frame: 5, ID: 1, Type: car, X: 0.04, Z: 1.78, Speed: 0.00, SCF: 510.3003, Avg_SCF: 503.2712
Frame: 5, ID: 2, Type: car, X: -0.13, Z: 1.92, Speed: 0.00, SCF: 512.4789, Avg_SCF: 503.2712
Frame: 5, ID: 3, Type: car, X: -0.02, Z: 1.32, Speed: 0.00, SCF: 487.0346, Avg_SCF: 503.2712
Frame: 6, ID: 1, Type: car, X: 0.04, Z: 1.79, Speed: 0.00, SCF: 510.7533, Avg_SCF: 503.8261
Frame: 6, ID: 2, Type: car, X: -0.13, Z: 1.94, Speed: 0.00, SCF: 512.8545, Avg_SCF: 503.8261
Frame: 6, ID: 3, Type: car, X: -0.02, Z: 1.34, Speed: 0.00, SCF: 487.8705, Avg_SCF: 503.8261
Frame: 7, ID: 1, Type: car, X: 0.04, Z: 1.80, Speed: 0.00, SCF: 510.9915, Avg_SCF: 512.0873
Frame: 7, ID: 2, Type: car, X: -0.13, Z: 1.95, Speed: 0.00, SCF: 513.1832, Avg_SCF: 512.0873
Frame: 8, ID: 1, Type: car, X: 0.04, Z: 1.80, Speed: 0.00, SCF: 510.8477, Avg_SCF: 511.9876
Frame: 8, ID: 2, Type: car, X: -0.13, Z: 1.95, Speed: 0.00, SCF: 513.1275, Avg_SCF: 511.9876
